UTTARKASHI  EARTHQUAKE, OCT 20,1991 02:53 IST                      
      91.0011.T station: UTTARKASHI      30 44 N 78 27 E comp: N75E             
 INST.FREQ= 25.50Hz  DAMPING=0.65 Band-Pass FILTER 0.17-0.20 Hz & 25.0-27.0 Hz  
Initial Velocity =     -.6300E-02 m/s Initial Displacement =   -.1480      mm
Peak Acceleration =        3.0400    m/s/s at    5.900  sec
 1996 Acceleration data points (in m/s/s) at .020 sec
0.209E+00 0.705E-01 -.446E-01 -.123E+00 -.138E+00 -.334E-01 0.374E-01 0.887E-02
-.174E-01 -.700E-02 0.407E-01 0.851E-01 0.909E-01 0.450E-01 -.779E-02 -.490E-01
-.438E-01 -.212E-03 0.829E-01 0.124E+00 0.656E-01 0.104E-01 -.493E-01 -.675E-01
-.213E-02 0.615E-01 0.542E-01 -.270E-01 -.778E-01 -.995E-01 -.576E-01 0.355E-02
0.139E-01 0.333E-01 0.606E-01 0.296E-01 -.608E-02 -.305E-01 -.290E-01 0.453E-01
0.117E+00 0.140E+00 0.192E+00 0.188E+00 0.567E-01 -.668E-01 -.110E+00 -.947E-01
-.508E-01 0.116E-01 0.690E-01 0.257E-01 -.124E+00 -.219E+00 -.147E+00 -.551E-01
-.270E-01 -.303E-01 -.820E-01 -.812E-01 -.329E-01 0.206E-01 0.296E-01 0.153E-01
0.146E-01 0.270E-01 0.546E-01 0.817E-01 0.548E-01 -.179E-01 -.117E+00 -.112E+00
-.488E-01 -.211E-01 -.342E-01 -.138E-01 0.310E-01 0.526E-01 0.622E-01 0.541E-01
0.254E-01 -.100E-01 -.321E-01 -.378E-01 -.859E-01 -.133E+00 -.748E-01 0.331E-01
0.102E+00 0.125E+00 0.755E-01 0.396E-01 0.109E-01 -.672E-02 -.185E-01 -.323E-01
-.135E-01 0.357E-01 0.416E-01 -.137E-01 -.564E-01 -.457E-01 -.854E-02 0.180E-01
0.182E-01 -.570E-02 0.104E-01 0.558E-01 0.529E-01 -.918E-02 -.530E-01 -.584E-01
-.946E-01 -.132E+00 -.139E+00 -.407E-01 0.959E-01 0.194E+00 0.159E+00 0.483E-01
-.463E-02 -.315E-01 -.348E-01 -.202E-01 0.564E-02 -.289E-01 -.989E-01 -.628E-01
0.301E-01 0.446E-01 0.616E-01 0.674E-01 0.124E-01 -.446E-01 -.960E-01 -.120E+00
-.972E-01 -.455E-01 0.350E-01 0.147E+00 0.149E+00 0.346E-01 -.431E-01 -.853E-01
-.237E-01 -.646E-02 -.627E-02 0.120E-01 0.515E-01 0.710E-01 0.811E-01 0.812E-01
0.750E-01 0.412E-01 -.499E-01 -.107E+00 -.440E-01 0.275E-01 0.496E-01 0.453E-01
0.495E-01 0.760E-01 0.133E+00 0.160E+00 0.107E+00 -.271E-01 -.138E+00 -.142E+00
-.983E-01 -.510E-01 -.179E-01 -.316E-01 -.110E+00 -.182E+00 -.171E+00 -.565E-01
0.115E-01 0.474E-01 0.600E-01 0.750E-01 0.853E-01 0.936E-01 0.960E-01 0.674E-01
0.173E-01 0.860E-02 0.466E-01 0.641E-01 0.632E-01 0.515E-01 0.197E-01 -.267E-01
-.215E-01 0.638E-02 0.507E-02 0.429E-02 -.437E-02 -.311E-01 -.791E-01 -.853E-01
-.428E-01 -.343E-01 -.270E-01 0.130E-01 0.445E-01 0.778E-01 0.966E-01 0.830E-01
0.611E-01 0.565E-01 0.984E-01 0.106E+00 0.697E-01 -.256E-01 -.644E-01 -.383E-01
-.463E-01 -.671E-01 -.687E-01 -.505E-01 -.162E-01 0.384E-01 0.113E+00 0.115E+00
0.905E-01 0.893E-01 0.670E-01 0.123E-01 -.400E-01 -.574E-01 -.796E-01 -.985E-01
-.110E+00 -.109E+00 -.618E-01 -.989E-02 0.750E-02 -.345E-01 -.496E-01 -.380E-01
-.228E-01 0.329E-02 0.255E-01 0.164E-01 -.269E-01 -.362E-01 -.412E-01 -.301E-01
0.204E-02 0.495E-01 0.830E-01 0.619E-01 -.100E-02 -.602E-01 -.842E-01 -.572E-01
-.162E-01 0.680E-01 0.130E+00 0.111E+00 0.543E-01 0.450E-02 -.467E-01 -.700E-01
-.448E-01 -.654E-02 0.258E-01 0.114E-01 -.641E-01 -.116E+00 -.124E+00 -.106E+00
-.831E-01 -.405E-01 0.256E-01 0.729E-01 0.717E-01 0.533E-01 0.137E-01 0.117E-01
0.548E-01 0.342E-01 -.407E-01 -.901E-01 -.525E-01 0.257E-01 0.833E-01 0.772E-01
0.425E-02 -.342E-01 -.296E-01 -.119E-01 0.164E-01 0.435E-01 0.456E-01 0.236E-01
-.612E-02 -.234E-01 0.409E-02 0.445E-01 0.443E-01 0.210E-01 -.551E-02 0.643E-02
0.678E-01 0.111E+00 0.665E-01 -.170E-01 -.943E-01 -.151E+00 -.183E+00 -.104E+00
0.320E-01 0.121E+00 0.900E-01 0.958E-02 -.355E-01 -.550E-01 -.318E-01 0.111E-01
0.636E-01 0.841E-01 0.636E-01 0.955E-02 -.454E-01 -.853E-01 -.855E-01 -.713E-01
-.723E-01 -.675E-01 -.479E-01 -.148E-01 0.380E-01 0.900E-01 0.102E+00 0.564E-01
0.859E-02 -.775E-02 0.387E-02 0.626E-01 0.961E-01 0.185E-02 -.121E+00 -.182E+00
-.177E+00 -.550E-01 0.102E+00 0.187E+00 0.115E+00 0.124E-01 -.634E-01 -.680E-01
-.313E-01 -.360E-01 -.673E-01 -.734E-01 -.416E-01 0.710E-03 0.136E-01 -.325E-02
-.119E-01 0.657E-02 0.312E-01 0.372E-01 0.390E-01 0.178E-01 -.606E-01 -.133E+00
-.144E+00 -.778E-01 -.840E-02 0.398E-01 0.332E-01 -.131E-01 -.154E-01 0.364E-01
0.324E-01 -.671E-02 -.131E-01 0.111E-01 0.444E-01 0.525E-01 0.142E-01 -.115E-01
-.276E-01 -.233E-01 -.772E-02 0.131E-01 0.211E-01 0.191E-01 0.153E-01 0.109E-01
0.724E-02 0.338E-02 -.104E-01 -.127E-01 -.166E-01 -.312E-01 -.304E-01 -.304E-01
-.283E-01 -.138E-01 0.211E-01 0.635E-01 0.866E-01 0.811E-01 0.539E-01 0.225E-02
-.540E-01 -.672E-01 -.215E-01 -.290E-02 0.272E-01 0.484E-01 0.383E-01 0.109E-01
-.316E-02 -.122E-03 0.141E-01 0.238E-01 0.202E-01 -.318E-02 -.462E-01 -.757E-01
-.453E-01 -.235E-02 0.249E-01 0.332E-01 0.217E-01 0.144E-01 0.229E-01 0.663E-01
0.912E-01 0.654E-01 0.545E-01 0.571E-01 0.561E-01 0.275E-01 -.101E-01 -.402E-01
-.329E-01 -.633E-02 0.116E-01 0.613E-02 0.248E-02 0.956E-02 0.330E-01 0.550E-01
0.677E-01 0.730E-01 0.769E-01 0.771E-01 0.588E-01 0.731E-02 -.377E-01 -.504E-01
-.304E-01 -.188E-02 0.571E-02 0.136E-01 0.100E-01 -.113E-01 -.402E-01 -.733E-01
-.100E+00 -.747E-01 -.730E-03 0.416E-01 0.310E-01 -.174E-02 0.283E-01 0.722E-01
0.769E-01 0.474E-01 0.452E-03 -.300E-01 0.202E-01 0.454E-01 0.673E-02 -.152E-01
-.616E-02 0.255E-01 0.364E-01 -.691E-07 -.379E-01 -.479E-01 -.468E-01 0.238E-03
0.316E-01 0.893E-02 -.146E-01 -.129E-01 0.290E-02 0.121E-01 0.170E-01 0.176E-01
0.127E-01 0.106E-02 -.171E-01 -.367E-01 -.566E-01 -.580E-01 -.569E-01 -.818E-01
-.880E-01 -.736E-01 -.554E-01 -.495E-01 -.261E-01 0.779E-02 0.329E-01 0.402E-01
0.452E-01 0.555E-01 0.658E-01 0.648E-01 0.302E-01 -.464E-02 -.100E-01 0.242E-01
0.399E-01 0.644E-02 -.328E-01 -.757E-01 -.866E-01 -.715E-01 -.642E-01 -.748E-01
-.843E-01 -.867E-01 -.468E-01 0.138E-01 0.379E-01 0.254E-01 0.219E-01 0.284E-01
0.343E-01 0.485E-01 0.596E-01 0.235E-01 -.415E-01 -.783E-01 -.721E-01 -.374E-01
-.547E-02 0.354E-01 0.711E-01 0.770E-01 0.145E-01 -.471E-01 -.526E-01 0.964E-03
0.418E-01 0.386E-01 -.518E-02 -.221E-01 -.137E-01 -.183E-01 -.639E-01 -.977E-01
-.902E-01 -.729E-01 -.482E-01 -.280E-01 -.184E-01 -.180E-01 -.890E-02 0.955E-03
0.123E-01 0.313E-01 0.332E-01 0.428E-02 -.166E-01 0.706E-02 0.330E-01 0.124E-01
-.284E-01 -.487E-01 0.321E-02 0.331E-01 0.410E-02 -.491E-01 -.815E-01 -.640E-01
-.282E-01 -.579E-02 0.102E-02 0.146E-02 0.886E-02 0.299E-01 0.551E-01 0.731E-01
0.612E-01 0.441E-01 0.870E-02 -.356E-01 -.484E-01 -.430E-01 -.384E-01 -.366E-01
-.322E-01 -.111E-02 0.232E-01 0.358E-01 0.326E-01 0.403E-01 0.596E-01 0.345E-01
0.250E-02 -.254E-01 -.473E-01 0.167E-02 0.836E-01 0.101E+00 0.542E-01 0.236E-01
0.386E-01 0.440E-01 0.409E-01 0.404E-01 0.381E-01 0.927E-02 -.171E-01 -.136E-01
0.732E-02 0.235E-01 0.408E-01 0.459E-01 0.249E-01 -.245E-01 -.686E-01 -.427E-01
0.248E-01 0.723E-01 0.881E-01 0.702E-01 0.304E-01 0.174E-01 0.619E-01 0.838E-01
0.553E-01 0.922E-02 0.482E-02 0.320E-01 0.416E-01 0.439E-01 0.504E-01 0.542E-01
0.486E-02 -.710E-01 -.110E+00 -.945E-01 -.392E-01 0.130E-01 0.615E-01 0.895E-01
0.771E-01 0.556E-01 0.335E-01 0.231E-01 0.281E-01 0.178E-01 -.605E-03 -.195E-01
-.381E-01 -.535E-01 -.550E-01 -.414E-01 -.211E-01 -.229E-01 -.291E-01 -.292E-01
-.279E-01 -.225E-01 -.154E-01 -.156E-01 -.151E-01 -.154E-01 -.132E-01 0.625E-03
